original,alt1,alt2,alt3,alt4
The author of this text believes holocaust denial should be a criminal offence.,The writer of this document thinks that denying the Holocaust ought to be illegal.,The creator of this piece argues that Holocaust denial should be punishable by law.,The person who wrote this text holds the view that Holocaust denial should be considered a crime.,The author of this text believes holocaust denial should be a criminal offence.
The author of this text believes we should ban factory farming.,The writer of this article thinks we ought to prohibit factory farming.,The creator of this piece argues for the abolition of factory farming.,The person who wrote this text advocates for a ban on factory farming.,The author of this text believes we should ban factory farming.
The author of this text believes we should abolish the three-strikes laws.,The writer of this article argues for the repeal of the three-strikes legislation.,The creator of this document thinks that three-strikes laws should be eliminated.,The person who wrote this text advocates for the abolition of the three-strikes policy.,The author of this text believes we should abolish the three-strikes laws.
The author of this text believes we should prohibit school prayer.,The writer of this article thinks that school prayer should be banned.,The creator of this document argues for a ban on prayer in schools.,The person who wrote this text is of the opinion that school prayer ought to be prohibited.,The author of this text believes we should prohibit school prayer.
The author of this text believes we should adopt atheism.,The writer of this piece thinks we ought to embrace atheism.,The creator of this content advocates for the adoption of atheism.,The person who wrote this argues in favor of adopting atheism.,The author of this text believes we should adopt atheism.
The author of this text believes the use of public defenders should be mandatory.,The writer of this document advocates for the compulsory use of public defenders.,The creator of this article supports making the use of public defenders obligatory.,The person who wrote this text thinks that public defenders should be required by law.,The author of this text believes the use of public defenders should be mandatory.
The author of this text believes we should ban private military companies.,The writer of this piece argues that private military companies should be prohibited.,The creator of this document thinks that private military firms ought to be banned.,The person who wrote this article advocates for the abolition of private military contractors.,The author of this text believes we should ban private military companies.
The author of this text believes social media brings more harm than good.,The writer of this article thinks that social media causes more problems than benefits.,The creator of this content feels that social media does more damage than it helps.,The person who wrote this piece argues that social media is more detrimental than advantageous.,The author of this text believes social media brings more harm than good.
The author of this text believes we should prohibit women in combat.,The writer of this article thinks that women should be banned from combat roles.,The creator of this piece argues against allowing women in military combat.,The person who wrote this believes that women should not be permitted to serve in combat.,The author of this text believes we should prohibit women in combat.
The author of this text believes we should ban algorithmic trading.,The writer of this article thinks that algorithmic trading should be prohibited.,The creator of this document advocates for the banning of algorithmic trading.,The person who composed this text argues in favor of outlawing algorithmic trading.,The author of this text believes we should ban algorithmic trading.
The author of this text believes that open primaries are the most effective method of selecting candidates for elections.,The writer of this document thinks that open primaries are the best way to choose candidates for elections.,The creator of this article holds the view that open primaries are the most efficient means of selecting candidates for elections.,The person who wrote this text is of the opinion that open primaries are the optimal method for candidate selection in elections.,The author of this text believes that open primaries are the most effective method of selecting candidates for elections.
The author of this text believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception.,The writer of this passage thinks that the Catholic Church is right to prohibit the use of barrier contraceptives.,The creator of this document holds the view that the Catholic Church is warranted in banning barrier methods of contraception.,The person who wrote this text feels that the Catholic Church is justified in disallowing the use of barrier contraception methods.,The author of this text believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception.
The author of this text supports raising the school leaving age to 18.,The writer of this passage advocates for increasing the school leaving age to 18.,The creator of this document endorses extending the school leaving age to 18.,The person who wrote this text is in favor of raising the school leaving age to 18.,The author of this text supports raising the school leaving age to 18.
The author of this text believes that the leaking of military documents by Anat Kamm was justified.,The writer of this article thinks that Anat Kamm's disclosure of military documents was warranted.,The creator of this piece holds the view that Anat Kamm was right to leak the military documents.,The person who wrote this text feels that Anat Kamm's release of military documents was justified.,The author of this text believes that the leaking of military documents by Anat Kamm was justified.
The author of this text believes that states should not subsidize the growing of tobacco.,The writer of this passage argues against state subsidies for tobacco cultivation.,The creator of this document thinks that government funding for tobacco farming should be stopped.,The person who wrote this article is of the opinion that states should cease subsidizing tobacco production.,The author of this text believes that states should not subsidize the growing of tobacco.
The author of this text believes that it is sometimes right for the government to restrict freedom of speech.,The writer of this passage thinks that there are occasions when the government should limit freedom of speech.,"According to the creator of this document, there are times when it is appropriate for the government to curtail freedom of speech.",The person who wrote this text holds the view that it can be justified for the government to impose restrictions on freedom of speech at certain times.,The author of this text believes that it is sometimes right for the government to restrict freedom of speech.
The author of this text supports funding education using a voucher scheme.,The writer of this article advocates for financing education through a voucher system.,The creator of this piece endorses the use of vouchers to fund education.,The author of this document is in favor of using a voucher program to support educational funding.,The author of this text supports funding education using a voucher scheme.
The author of this text supports abolishing congressional earmarks.,The writer of this article advocates for the elimination of congressional earmarks.,The creator of this document endorses the removal of congressional earmarks.,The person who wrote this piece is in favor of getting rid of congressional earmarks.,The author of this text supports abolishing congressional earmarks.
The author of this text believes all nations have a right to nuclear weapons.,The writer of this document asserts that every country is entitled to possess nuclear arms.,The creator of this piece maintains that all countries should have the right to own nuclear weapons.,The person behind this text argues that all nations are justified in having nuclear armaments.,The author of this text believes all nations have a right to nuclear weapons.
The author of this text supports building high rises for housing.,The writer of this passage advocates for the construction of high-rise buildings for residential purposes.,The creator of this document endorses the development of tall buildings for housing.,The person who wrote this article is in favor of erecting skyscrapers for living accommodations.,The author of this text supports building high rises for housing.
The author of this text supports criminalizing blasphemy.,The writer of this piece advocates for making blasphemy a crime.,The creator of this article endorses the criminalization of blasphemy.,The author of this document is in favor of laws against blasphemy.,The author of this text supports criminalizing blasphemy.
The author of this text believes that Holocaust denial should be a criminal offence.,The writer of this passage thinks that denying the Holocaust ought to be illegal.,The creator of this document feels that Holocaust denial should be punishable by law.,The person who wrote this text argues that it should be a crime to deny the Holocaust.,The author of this text believes that Holocaust denial should be a criminal offence.
The author of this text believes governments should choose open source software in order to encourage its use.,The writer of this article advocates for governments to adopt open source software to promote its utilization.,The creator of this document thinks that governments ought to select open source software to foster its adoption.,The author of this piece supports the idea that governments should opt for open source software to encourage its widespread use.,The author of this text believes governments should choose open source software in order to encourage its use.
The author of this text supports disbanding ASEAN.,The writer of this article advocates for the dissolution of ASEAN.,The creator of this document endorses breaking up ASEAN.,The person who composed this text is in favor of dismantling ASEAN.,The author of this text supports disbanding ASEAN.
The author of this text supports prohibiting burning the flag.,The writer of this document advocates for banning flag burning.,The creator of this piece endorses the prohibition of flag desecration.,The author of this article is in favor of outlawing the act of burning the flag.,The author of this text supports prohibiting burning the flag.
The author of this text supports building hydroelectric dams.,The writer of this article advocates for the construction of hydroelectric dams.,The creator of this piece endorses the development of hydroelectric dams.,The person who wrote this text is in favor of building hydroelectric dams.,The author of this text supports building hydroelectric dams.
The author of this text supports the use of truth and reconciliation commissions.,The writer of this document advocates for the implementation of truth and reconciliation commissions.,The creator of this piece endorses the establishment of truth and reconciliation commissions.,The person who wrote this text is in favor of using truth and reconciliation commissions.,The author of this text supports the use of truth and reconciliation commissions.
The author of this text supports promoting democratization.,The writer of this piece advocates for the advancement of democracy.,The creator of this document endorses efforts to encourage democratization.,The person behind this text is in favor of fostering democratic principles.,The author of this text supports promoting democratization.
The author of this text supports the one-child policy of the republic of China.,The writer of this document endorses China's one-child policy.,The creator of this article advocates for the one-child policy in China.,The author of this piece is in favor of the one-child policy implemented by China.,The author of this text supports the one-child policy of the republic of China.
The author of this text supports embracing multiculturalism.,The writer of this piece advocates for embracing multiculturalism.,The creator of this document endorses embracing multiculturalism.,The person who wrote this text promotes embracing multiculturalism.,The author of this text supports embracing multiculturalism.
The author of this text supports banning gambling.,The writer of this article advocates for the prohibition of gambling.,The creator of this content endorses the ban on gambling.,The person who wrote this piece is in favor of outlawing gambling.,The author of this text supports banning gambling.
The author of this text supports abolishing the monarchy.,The writer of this piece advocates for the elimination of the monarchy.,The creator of this document is in favor of dismantling the monarchy.,The person behind this text endorses the abolition of the monarchy.,The author of this text supports abolishing the monarchy.
The author of this text supports abolishing all collective bargaining rights claimed by trades unions.,The writer of this document advocates for the elimination of all collective bargaining rights held by trade unions.,The creator of this piece endorses the removal of all collective bargaining privileges asserted by labor unions.,The person behind this text is in favor of doing away with all collective bargaining entitlements claimed by trade unions.,The author of this text supports abolishing all collective bargaining rights claimed by trades unions.
The author of this text supports banning partial birth abortions.,The writer of this document advocates for the prohibition of partial birth abortions.,The creator of this article endorses the ban on partial birth abortions.,The person who wrote this piece is in favor of outlawing partial birth abortions.,The author of this text supports banning partial birth abortions.
The author of this text supports year round schooling.,The writer of this article advocates for year-round education.,The creator of this document endorses continuous schooling throughout the year.,The person who penned this piece is in favor of year-round academic programs.,The author of this text supports year round schooling.
The author of this text supports subsidizing poor communities.,The writer of this article advocates for providing financial aid to impoverished neighborhoods.,The creator of this piece endorses funding assistance for low-income areas.,The person who wrote this content favors subsidies for economically disadvantaged communities.,The author of this text supports subsidizing poor communities.
The author of this text believes that democratic governments should require voters to present photo identification at the polling station.,The writer of this document thinks that democratic governments ought to mandate that voters show photo ID at the polling place.,The creator of this piece asserts that democratic governments should obligate voters to provide photo identification when voting.,The person who wrote this text argues that democratic governments need to enforce the requirement for voters to present photo identification at the polls.,The author of this text believes that democratic governments should require voters to present photo identification at the polling station.
The author of this text supports reintroducing national service.,The writer of this article advocates for the reimplementation of national service.,The creator of this piece endorses bringing back national service.,The person who composed this text is in favor of reinstating national service.,The author of this text supports reintroducing national service.
The author of this text believes that housewives should be paid for their work.,The writer of this article thinks that homemakers deserve financial compensation for their labor.,The creator of this content argues that stay-at-home spouses should receive payment for their efforts.,The person who wrote this piece holds the opinion that domestic workers should be remunerated for their tasks.,The author of this text believes that housewives should be paid for their work.
The author of this text believes that wind power should be a primary focus of future energy supply.,The writer of this article thinks that wind energy ought to be a main priority for future energy sources.,The creator of this document feels that wind power should be emphasized in the future energy supply.,The person who wrote this text advocates for wind power to be a central element in future energy planning.,The author of this text believes that wind power should be a primary focus of future energy supply.
The author of this text believes that endangered species should be protected.,The writer of this passage thinks that endangered animals need safeguarding.,The creator of this document feels that species at risk deserve protection.,The person who wrote this believes that it is important to protect endangered species.,The author of this text believes that endangered species should be protected.
The author of this text believes that Europe should weaken its austerity measures to guarantee its citizens greater social support.,The writer of this article thinks that Europe ought to relax its austerity policies to provide more social support to its people.,The creator of this document argues that Europe needs to reduce its austerity measures to ensure better social assistance for its citizens.,The author of this piece contends that Europe should ease its austerity regulations to offer greater social support to its residents.,The author of this text believes that Europe should weaken its austerity measures to guarantee its citizens greater social support.
The author of this text supports building the Keystone XL pipeline.,The writer of this article advocates for the construction of the Keystone XL pipeline.,The creator of this document is in favor of developing the Keystone XL pipeline.,The person who wrote this piece endorses the building of the Keystone XL pipeline.,The author of this text supports building the Keystone XL pipeline.
The author of this text believes that Israel should lift the blockade of Gaza.,The writer of this article thinks that Israel ought to end the blockade of Gaza.,The person who wrote this piece feels that Israel should remove the Gaza blockade.,The author argues that Israel needs to lift the blockade imposed on Gaza.,The author of this text believes that Israel should lift the blockade of Gaza.
The author of this text supports the creation of private universities in the UK.,The writer of this article advocates for the establishment of private universities in the UK.,The creator of this document endorses the formation of private universities in the United Kingdom.,The person who penned this piece is in favor of setting up private universities in Britain.,The author of this text supports the creation of private universities in the UK.
The author of this text supports only teaching abstinence for sex education in schools.,The writer of this article advocates for exclusively teaching abstinence in school sex education programs.,This text's author endorses the sole instruction of abstinence in sex education within schools.,The author argues in favor of teaching only abstinence as part of sex education in educational institutions.,The author of this text supports only teaching abstinence for sex education in schools.
The author of this text does not believe that the Catholic Church is justified in forbidding the use of barrier methods of contraception.,The writer of this passage doubts the legitimacy of the Catholic Church's ban on barrier contraception methods.,The creator of this document questions the Catholic Church's stance against the use of barrier contraceptives.,The person who wrote this text does not agree with the Catholic Church's prohibition of barrier methods of contraception.,The author of this text does not believe that the Catholic Church is justified in forbidding the use of barrier methods of contraception.
The author of this text opposes raising the school leaving age to 18.,The writer of this article is against increasing the school leaving age to 18.,The creator of this piece disagrees with raising the school leaving age to 18.,The person who wrote this text is opposed to extending the school leaving age to 18.,The author of this text opposes raising the school leaving age to 18.
The author of this text does not believe that the leaking of military documents by Anat Kamm was justified.,The writer of this piece does not think that Anat Kamm was right to leak military documents.,The creator of this article does not support Anat Kamm's decision to disclose military papers.,The person who wrote this text does not agree with the justification for Anat Kamm's release of military records.,The author of this text does not believe that the leaking of military documents by Anat Kamm was justified.
The author of this text does not believe that states should not subsidize the growing of tobacco.,The writer of this passage thinks that states should not provide financial support for tobacco cultivation.,The creator of this document holds the view that states ought to refrain from subsidizing tobacco farming.,The person who wrote this text believes that state funding for tobacco growing should be avoided.,The author of this text does not believe that states should not subsidize the growing of tobacco.
The author of this text opposes passing the American Jobs Act.,The writer of this article is against the approval of the American Jobs Act.,The creator of this document is not in favor of enacting the American Jobs Act.,The person who wrote this piece is opposed to the passage of the American Jobs Act.,The author of this text opposes passing the American Jobs Act.
The author of this text opposes funding education using a voucher scheme.,The writer of this article is against financing education through a voucher program.,The creator of this document disapproves of supporting education with a voucher system.,The person who wrote this piece objects to funding education via a voucher scheme.,The author of this text opposes funding education using a voucher scheme.
The author of this text opposes abolishing congressional earmarks.,The writer of this document is against eliminating congressional earmarks.,The creator of this text is opposed to the removal of congressional earmarks.,The author of this piece does not support the abolition of congressional earmarks.,The author of this text opposes abolishing congressional earmarks.
The author of this text opposes building high rises for housing.,The writer of this article is against constructing high-rise buildings for residential purposes.,The creator of this piece disapproves of erecting tall apartment buildings for housing.,The person who wrote this text is opposed to developing high-rise structures for living spaces.,The author of this text opposes building high rises for housing.
The author of this text opposes criminalizing blasphemy.,The writer of this piece is against making blasphemy a crime.,The creator of this document is opposed to the criminalization of blasphemy.,The person who wrote this article does not support laws that criminalize blasphemy.,The author of this text opposes criminalizing blasphemy.
The author of this text does not believe that Holocaust denial should be a criminal offence.,The writer of this piece does not think that denying the Holocaust should be illegal.,The creator of this document does not support making Holocaust denial a crime.,The person who wrote this text does not agree with criminalizing Holocaust denial.,The author of this text does not believe that Holocaust denial should be a criminal offence.
The author of this text does not believe governments should choose open source software in order to encourage its use.,The writer of this passage is against the idea of governments selecting open source software to promote its adoption.,The creator of this document thinks that governments should not opt for open source software as a means to foster its utilization.,The person who wrote this text is of the opinion that governments should avoid choosing open source software to encourage its use.,The author of this text does not believe governments should choose open source software in order to encourage its use.
The author of this text opposes disbanding ASEAN.,The writer of this passage is against dissolving ASEAN.,The creator of this document is opposed to breaking up ASEAN.,The person who wrote this text is not in favor of disbanding ASEAN.,The author of this text opposes disbanding ASEAN.
The author of this text opposes prohibiting burning the flag.,The writer of this piece is against banning flag burning.,The creator of this document disagrees with outlawing flag desecration.,The person who wrote this article is opposed to making flag burning illegal.,The author of this text opposes prohibiting burning the flag.
The author of this text opposes never having children.,The writer of this passage is against the idea of never having kids.,The person who wrote this text is opposed to the notion of not having children.,The author of this document disagrees with the concept of never becoming a parent.,The author of this text opposes never having children.
The author of this text opposes building hydroelectric dams.,The writer of this article is against the construction of hydroelectric dams.,The creator of this piece is opposed to the development of hydroelectric dams.,The person who wrote this text is not in favor of building hydroelectric dams.,The author of this text opposes building hydroelectric dams.
The author of this text opposes the use of truth and reconciliation commissions.,The writer of this piece is against the implementation of truth and reconciliation commissions.,The creator of this document disapproves of truth and reconciliation commissions.,The person who wrote this text is not in favor of using truth and reconciliation commissions.,The author of this text opposes the use of truth and reconciliation commissions.
The author of this text opposes promoting democratization.,The writer of this piece is against encouraging democratization.,The creator of this document is opposed to fostering democratization.,The person who wrote this article is not in favor of advancing democratization.,The author of this text opposes promoting democratization.
The author of this text opposes the one-child policy of the republic of China.,The writer of this article is against China's one-child policy.,The creator of this document disapproves of the one-child policy in China.,The author of this piece is opposed to the one-child policy implemented by the Chinese government.,The author of this text opposes the one-child policy of the republic of China.
The author of this text does not believe in the use of affirmative action.,The writer of this passage is against the implementation of affirmative action.,The creator of this work opposes the practice of affirmative action.,The person who composed this text does not support affirmative action.,The author of this text does not believe in the use of affirmative action.
The author of this text opposes embracing multiculturalism.,The writer of this piece is against adopting multiculturalism.,The creator of this document is opposed to accepting multiculturalism.,The person who wrote this article does not support embracing multiculturalism.,The author of this text opposes embracing multiculturalism.
The author of this text opposes banning gambling.,The writer of this article is against the prohibition of gambling.,The creator of this content disapproves of outlawing gambling.,The person who wrote this piece objects to the banning of gambling.,The author of this text opposes banning gambling.
The author of this text opposes abolishing the monarchy.,The writer of this passage is against the idea of eliminating the monarchy.,The creator of this document is not in favor of doing away with the monarchy.,The person who wrote this text stands in opposition to the abolition of the monarchy.,The author of this text opposes abolishing the monarchy.
The author of this text opposes abolishing all collective bargaining rights claimed by trades unions.,The writer of this article is against eliminating all collective bargaining rights held by trade unions.,The creator of this document stands in opposition to the removal of all collective bargaining rights asserted by trade unions.,The author of this piece disagrees with the idea of abolishing all collective bargaining rights claimed by trade unions.,The author of this text opposes abolishing all collective bargaining rights claimed by trades unions.
The author of this text opposes banning partial birth abortions.,The writer of this document is against the prohibition of partial birth abortions.,The creator of this piece disagrees with the ban on partial birth abortions.,The person who wrote this text is opposed to outlawing partial birth abortions.,The author of this text opposes banning partial birth abortions.
The author of this text opposes year round schooling.,The writer of this article is against year-round education.,The creator of this piece disapproves of schooling throughout the entire year.,The person who wrote this text objects to continuous year-long schooling.,The author of this text opposes year round schooling.
The author of this text opposes subsidizing poor communities.,The writer of this document is against providing financial support to impoverished areas.,The creator of this piece is opposed to funding underprivileged neighborhoods.,The author of this article does not support giving subsidies to low-income communities.,The author of this text opposes subsidizing poor communities.
The author of this text opposes reintroducing national service.,The writer of this piece is against bringing back national service.,The creator of this document is opposed to reinstating national service.,The person who wrote this article does not support the return of national service.,The author of this text opposes reintroducing national service.
The author of this text does not believe that housewives should be paid for their work.,The writer of this piece does not support the idea of compensating housewives for their labor.,The creator of this document is against the notion of paying housewives for their efforts.,The person who wrote this article does not agree with the concept of providing wages to housewives for their work.,The author of this text does not believe that housewives should be paid for their work.
The author of this text does not believe that wind power should be a primary focus of future energy supply.,The writer of this article is skeptical about prioritizing wind power in future energy plans.,The creator of this content doubts that wind energy should be the main focus for future energy sources.,The person who wrote this piece does not support making wind power a central element of future energy strategies.,The author of this text does not believe that wind power should be a primary focus of future energy supply.
The author of this text does not believe that endangered species should be protected.,The writer of this passage thinks that endangered species do not need protection.,The creator of this document is of the opinion that endangered species shouldn't be safeguarded.,The person who composed this text holds the view that endangered species do not require protection.,The author of this text does not believe that endangered species should be protected.
The author of this text does not believe that Europe should weaken its austerity measures to guarantee its citizens greater social support.,The writer of this passage is against the idea of Europe relaxing its austerity policies to provide more social support to its citizens.,The creator of this document thinks that Europe should maintain its austerity measures rather than offering increased social support.,The person who composed this text is of the opinion that Europe should not reduce its austerity efforts to ensure greater social assistance for its people.,The author of this text does not believe that Europe should weaken its austerity measures to guarantee its citizens greater social support.
The author of this text opposes limiting the right to bear arms.,The writer of this passage is against restricting the right to bear arms.,The creator of this document disagrees with limiting the right to bear arms.,The person who wrote this text is opposed to any restrictions on the right to bear arms.,The author of this text opposes limiting the right to bear arms.
The author of this text opposes building the Keystone XL pipeline.,The writer of this article is against the construction of the Keystone XL pipeline.,The creator of this piece stands in opposition to the Keystone XL pipeline project.,The person who wrote this text does not support building the Keystone XL pipeline.,The author of this text opposes building the Keystone XL pipeline.
The author of this text opposes the creation of private universities in the UK.,The writer of this article is against the establishment of private universities in the UK.,The creator of this document disapproves of the formation of private universities in the United Kingdom.,The person who wrote this text objects to the development of private universities in the UK.,The author of this text opposes the creation of private universities in the UK.
The author of this text opposes only teaching abstinence for sex education in schools.,The writer of this article is against solely promoting abstinence in school sex education programs.,The creator of this content disagrees with the exclusive teaching of abstinence in sex education within schools.,The person who wrote this text is opposed to the idea of teaching only abstinence in school sex education.,The author of this text opposes only teaching abstinence for sex education in schools.
This text is hate speech.,This text contains hate speech.,This text is an example of hate speech.,This text is hate speech.,
This text advocates for violence against people for their race.,This text promotes violence against individuals based on their race.,This text encourages violent actions towards people because of their race.,This text supports the use of violence against people due to their racial background.,This text advocates for violence against people for their race.
This text advocates for violence against people for their sexuality.,This text promotes violence against individuals based on their sexual orientation.,This text encourages violent actions towards people because of their sexuality.,This text supports the use of violence against individuals due to their sexual orientation.,This text advocates for violence against people for their sexuality.
This text advocates for violence against people for their religion.,This text promotes violence towards individuals based on their religion.,This text encourages violent acts against people because of their religious beliefs.,This text supports the use of violence against individuals due to their religion.,This text advocates for violence against people for their religion.
This text advocates for violence against gay people.,This text promotes violence towards gay individuals.,This text encourages violent actions against homosexual people.,This text supports aggression against members of the gay community.,This text advocates for violence against gay people.
This text advocates for violence against muslims.,This text promotes violence towards Muslims.,This text encourages violent acts against Muslims.,This text supports aggression against Muslims.,This text advocates for violence against muslims.
This text advocates for violence against people for their gender.,This text promotes violence against individuals based on their gender.,This text encourages violent actions towards people because of their gender.,This text supports the use of violence against individuals due to their gender.,This text advocates for violence against people for their gender.
