text,hypothesis,labels,task_name,label_text,validated_labels,validation_source
a sha-na-na sketch punctuated with graphic violence .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
smith finds amusing juxtapositions that justify his exercise .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"an enthralling , entertaining feature .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
this seductive tease of a thriller gets the job done . it's a scorcher .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
you can practically hear george orwell turning over .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"very much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
it's a very valuable film . . .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"it should be interesting , it should be poignant , it turns out to be affected and boring .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
a film without surprise geared toward maximum comfort and familiarity .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"in a big corner office in hell , satan is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7 .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
the movie is too amateurishly square to make the most of its own ironic implications .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
an unsophisticated sci-fi drama that takes itself all too seriously .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
one of [jaglom's] better efforts -- a wry and sometime bitter movie about love .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
this is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"after several scenes of this tacky nonsense , you'll be wistful for the testosterone-charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
a slow-moving police-procedural thriller that takes its title all too literally .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"a fresh , entertaining comedy that looks at relationships minus traditional gender roles .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
the drama discloses almost nothing .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
mushes the college-friends genre ( the big chill ) together with the contrivances and overwrought emotion of soap operas .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
". . . blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"an entertaining , if ultimately minor , thriller .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
a film that clearly means to preach exclusively to the converted .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"whether this is art imitating life or life imitating art , it's an unhappy situation all around .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"gangs , despite the gravity of its subject matter , is often as fun to watch as a good spaghetti western .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"this fascinating look at israel in ferment feels as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"gangster no . 1 is solid , satisfying fare for adults .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
charlotte sometimes is a gem . it's always enthralling .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"tom green and an ivy league college should never appear together on a marquee , especially when the payoff is an unschooled comedy like stealing harvard , which fails to keep 80 minutes from seeming like 800 .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"the exploitative , clumsily staged violence overshadows everything , including most of the actors .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
this will go on so long as there are moviegoers anxious to see strange young guys doing strange guy things .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly . . .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"if it were any more of a turkey , it would gobble in dolby digital stereo . if nothing else , "" rollerball "" 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic meditation about identity and alienation .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"a wry , affectionate delight .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"the venezuelans say things like "" si , pretty much "" and "" por favor , go home "" when talking to americans . that's muy loco , but no more ridiculous than most of the rest of "" dragonfly . """,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and consolation in afterlife communications .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"if s&m seems like a strange route to true love , maybe it is , but it's to this film's ( and its makers' ) credit that we believe that that's exactly what these two people need to find each other -- and themselves .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"a era do gelo diverte , mas não convence . É um passatempo descompromissado  e só .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"literary purists may not be pleased , but as far as mainstream matinee-style entertainment goes , it does a bang-up job of pleasing the crowds .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"has none of the crackle of "" fatal attraction "" , "" 9 ½ weeks "" , or even "" indecent proposal "" , and feels more like lyne's stolid remake of "" lolita "" .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"everyone's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
even after 90 minutes of playing opposite each other bullock and grant still look ill at ease sharing the same scene . what should have been a painless time-killer becomes instead a grating endurance test .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
chouraqui brings documentary-like credibility to the horrors of the killing field and the barbarism of 'ethnic cleansing . ',the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
some of the most inventive silliness you are likely to witness in a movie theatre for some time .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i can't remember a single name responsible for it .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
one of the most important and exhilarating forms of animated filmmaking since old walt doodled steamboat willie .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"it's nice to see piscopo again after all these years , and chaykin and headly are priceless .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old hanna-barbera charm .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"in the director's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"a powerful , chilling , and affecting study of one man's dying fall .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
kinnear . . . gives his best screen performance with an oddly winning portrayal of one of life's ultimate losers .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"don michael paul uses quick-cuts , ( very ) large shadows and wide-angle shots taken from a distance to hide the liberal use of a body double ( for seagal ) .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i can't remember a single name responsible for it .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"put it somewhere between sling blade and south of heaven , west of hell in the pantheon of billy bob's body of work .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
don't hate el crimen del padre amaro because it's anti-catholic . hate it because it's lousy .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
the comedy makes social commentary more palatable .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
an intimate contemplation of two marvelously messy lives .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
[grant] goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"the dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"tends to pile too many "" serious issues "" on its plate at times , yet remains fairly light , always entertaining , and smartly written .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
a movie of technical skill and rare depth of intellect and feeling .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
a porn film without the sex scenes .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"definitely a crowd-pleaser , but then , so was the roman colosseum .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"lacks the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"sly , sophisticated and surprising .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"performances are potent , and the women's stories are ably intercut and involving .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"the film boasts at least a few good ideas and features some decent performances , but the result is disappointing .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
the filmmakers keep pushing the jokes at the expense of character until things fall apart .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
". it's a testament to the film's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . there's a sheer unbridled delight in the way the story unfurls . . .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"despite its faults , gangs excels in spectacle and pacing .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"if hill isn't quite his generation's don siegel ( or robert aldrich ) , it's because there's no discernible feeling beneath the chest hair ; it's all bluster and cliché .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
. . . in the pile of useless actioners from mtv schmucks who don't know how to tell a story for more than four minutes .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"hopelessly inane , humorless and under-inspired .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
the film is way too full of itself ; it's stuffy and pretentious in a give-me-an-oscar kind of way .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"a violent initiation rite for the audience , as much as it is for angelique , the [opening] dance guarantees karmen's enthronement among the cinema's memorable women .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"spielberg's realization of a near-future america is masterful . this makes minority report necessary viewing for sci-fi fans , as the film has some of the best special effects ever .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
no such thing breaks no new ground and treads old turf like a hippopotamus ballerina .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"rather than real figures , elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the naïf's encounter with the world .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
the story alone could force you to scratch a hole in your head .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
i spied with my little eye . . . a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"a film really has to be exceptional to justify a three hour running time , and this isn't .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"you have once again entered the bizarre realm where director adrian lyne holds sway , where all relationships are simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"you come away thinking not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"talkiness isn't necessarily bad , but the dialogue frequently misses the mark .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
suffers from unlikable characters and a self-conscious sense of its own quirky hipness .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"a tired , predictable , bordering on offensive , waste of time , money and celluloid .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"assayas' ambitious , sometimes beautiful adaptation of jacques chardonne's novel .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
no such thing breaks no new ground and treads old turf like a hippopotamus ballerina .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
a penetrating glimpse into the tissue-thin ego of the stand-up comic .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"in addition to sporting one of the worst titles in recent cinematic history , ballistic : ecks vs . sever also features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
my wife's plotting is nothing special ; it's the delivery that matters here .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
. . . a good film that must have baffled the folks in the marketing department .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"director kevin bray excels in breaking glass and marking off the "" miami vice "" checklist of power boats , latin music and dog tracks . he doesn't , however , deliver nearly enough of the show's trademark style and flash .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shines like a lonely beacon .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"hart's war seems to want to be a character study , but apparently can't quite decide which character .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
you expect more from director michael apted ( enigma ) and screenwriter nicholas kazan ( reversal of fortune ) than this cliche pileup .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
does what should seem impossible : it makes serial killer jeffrey dahmer boring .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
the master of disguise is awful . it's pauly shore awful . don't say you weren't warned .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
[grant] goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets [sci-fi] rehash .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"the main characters are simply named the husband , the wife and the kidnapper , emphasizing the disappointingly generic nature of the entire effort .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
a deliciously nonsensical comedy about a city coming apart at its seams .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"a film really has to be exceptional to justify a three hour running time , and this isn't .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
sade achieves the near-impossible : it turns the marquis de sade into a dullard .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"some movies can get by without being funny simply by structuring the scenes as if they were jokes : a setup , delivery and payoff . stealing harvard can't even do that much . each scene immediately succumbs to gravity and plummets to earth .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"a grittily beautiful film that looks , sounds , and feels more like an extended , open-ended poem than a traditionally structured story .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
another best of the year selection .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"the film is all over the place , really . it dabbles all around , never gaining much momentum .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
an animation landmark as monumental as disney's 1937 breakthrough snow white and the seven dwarfs .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"the performances are immaculate , with roussillon providing comic relief .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
