text,entailment,hypothesis,task,llama,base_nli,large_nli,base_debate,large_debate,base_modern,large_modern
The death penalty gives some of the worst offenders publicity that they do not deserve .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Thus , for every seven people executed , we have found one person on death row who never should have been convicted .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,0,1
"The death penalty is cruel , inhuman and degrading .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
The death penalty is uncivilized .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"The rates for unlawful killings in Britain have more than doubled since abolition of capital punishment in 1964 from 0.68 per 100,000 of the population to 1 .42 per 100,000 .",1,the author of this text opposes the death penalty,stance,1,0,1,1,1,1,1
Those who believe that deterrence justifies the execution of certain offenders bear the burden of proving that the death penalty is a deterrent .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,0,1
"And if there were a huge increase in executions , which you seem to think is a desirable goal , there would be far more publicity for murderers .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"The Court , concentrating its objections on the manner in which death penalty laws had been applied , found the result so "" harsh , freakish , and arbitrary "" as to be constitutionally unacceptable .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
States with the death penalty do not have lower homicide rates .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
The state has executed 13 people since 1976 for a total of about $ 250 million per execution .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Even the theoretical execution of an innocent person can be justified because the death penalty saves lives by deterring other killings .,0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
""" The death penalty is an effective deterrent . """,0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
"In other cases , DNA testing has exonerated death row inmates .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"In light of our constitutional history , the race-specific aspects of the death penalty in the South are profoundly unsettling .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"The framers of the constitution clearly believed that Capital punishment was an acceptable mess of protecting society form ï ¿ ½ wicked dissolute menï ¿ ½ Thomas Jefferson liked to talk about it ( Carrington , F. , 1978 ) .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"For those who oppose the death penalty , moral and religious reasons such as it is "" wrong to take a life "" are most popular .",0,the author of this text opposes the death penalty,stance,0,0,1,0,0,0,0
Capital punishment permanently removes the worst criminals from society and should prove much safer for the rest of us than long term or permanent incarceration .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
The vast majority of law enforcement professionals surveyed agree that capital punishment does not deter violent crime ; a survey of police chiefs nationwide found they rank the death penalty lowest among ways to reduce violent crime .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"I 've never struggled with that at all ... But in the state of Texas , if you come into our state and you kill one of our children , you kill a police officer , you 're involved with another crime and you kill one of our citizens , you will face the ultimate justice in the state of Texas , and that is , you will be executed ... I think Americans understand justice .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
The death penalty is not a viable form of crime control .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Disturbingly , and increasingly , a large body of evidence from the modern era shows that innocent people are often convicted of crimes – including capital crimes – and that some have been executed .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Justice is never advanced in the taking of a human life .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"We can reduce delay and costs only by abandoning the procedural safeguards and constitutional rights of suspects , defendants , and convicts – with the attendant high risk of convicting the wrong person and executing the innocent .",0,the author of this text opposes the death penalty,stance,0,1,0,0,0,0,0
"Because of the goals that our criminal justice system must satisfy - deterring crime , punishing the guilty , acquitting the innocent , avoiding needless cruelty , treating citizens equally , and prohibiting oppression by the state - America simply does not have the kind of capital punishment system contemplated by death penalty partisans .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"The emotional impulse for revenge is not a sufficient justification for invoking a system of capital punishment , with all its accompanying problems and risks .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
Only the taking of the murderer 's life restores the balance and allows society to show convincingly that murder is an intolerable crime which will be punished in kind .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
""" Heller emphasized that he is not "" soft on crime , "" but that "" life without parole protects public safety better than a death sentence .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Morality is never upheld by a legalized murder . """,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
Politicians who preach the desirability of executions as a method of crime control deceive the public and mask their own failure to identify and confront the true causes of crime .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
I emphasized Albert Camus because he was a great writer who was eloquent and consistent in his opposition to the death penalty .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"James Byrd ’s son , Ross , points out "" You ca n't fight murder with murder . . . ( l ) ife in prison would have been fine .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,0,1
"As Supreme Court Justice Arthur J. Goldberg wrote , "" The deliberate institutionalized taking of human life by the state is the greatest conceivable degradation to the dignity of the human personality .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
""" Don Heller , a Republican and former prosecutor , wrote "" I am convinced that at least one innocent person may have been executed under the current death penalty law .",0,the author of this text opposes the death penalty,stance,0,1,0,0,0,0,0
"Instead , "" save taxpayers money "" and simply , "" they deserve it , "" have emerged as the second-most-popular responses to why the death penalty should be used in murder convictions .",1,the author of this text opposes the death penalty,stance,1,0,1,1,1,1,1
"He is now a walking argument against the death penalty , proof that in the face of scientific evidence , even the slam-dunk cases can come apart .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Most of the rest of the developed world has done away with capital punishment .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
I changed my mind because I recognized that the risks and costs associated with the death penalty are too high .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
Death sentences are imposed in a criminal justice system that treats you better if you are rich and guilty than if you are poor and innocent .,0,the author of this text opposes the death penalty,stance,0,0,0,1,0,1,0
There are a number of incontrovertible arguments against the death penalty .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"’” . . . ” Our present system of capital punishment limits the ultimate penalty to certain specifically - defined crimes and even then , permit the penalty of death only when the jury finds that the aggravating circumstances in the case outweigh all mitigating circumstances .",1,the author of this text opposes the death penalty,stance,1,0,0,1,0,1,1
"Think - if every murderer who killed someone died instantly , the homicide rate would be very low because no one likes to die .",1,the author of this text opposes the death penalty,stance,1,0,1,1,1,1,1
"Hence , the death penalty is vital to protect a personï ¿ ½ s right to live !",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"There is strong evidence that the death penalty does not discourage crime at all ( McClellan , G. , 1961 ) .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
It is also the only fitting retribution for murder I can think of . ”,0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
This further illustrates that capital punishment does not deter individuals who are intent on murder .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Earl Charles , a veteran of several years on death row for crimes he did not commit , tried to explain this last year : "" Well , it is difficult for me to sit down and talk to my son about ' thou shalt not kill , ' when the state itself ... is saying , ' Well , yes , we can kill , under certain circumstances . ' """,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
There is ‘ no support for the view that the death penalty provides a more effective deterrent to police homicides than alternative sanctions .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"And even in states where it is an option , prosecutors can decide against pursuing a death sentence .",1,the author of this text opposes the death penalty,stance,0,1,1,0,0,1,1
Buck stresses that his circumstances are indeed extraordinary : He is under a death sentence “ whose legitimacy is undermined by expert testimony that Mr. Buck is more deserving of a death sentence under Texas law because he is Black ” ; he has had ineffective attorneys throughout his legal proceedings ; and Texas failed “ to keep its promise to concede error in ” his case .,0,the author of this text opposes the death penalty,stance,0,0,1,0,0,1,0
"Killers are to be killed , and God 's will has not been fulfilled until our governing bodies have executed wrath upon those who have killed others .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Since at least 1967 , the death penalty has been inflicted only rarely , erratically , and often upon the least odious killers , while many of the most heinous criminals have escaped execution .",1,the author of this text supports the death penalty,stance,1,1,1,0,1,1,1
"Since 1976 , however , more than 20 executions in the United States have involved prolonged , painful , or shocking errors , such as an inmate ’s head catching fire or a lengthy and torturous search for a vein suitable for lethal injection .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
In 1988 and 1989 the Kansas legislature voted against reinstating the death penalty after it was informed that reintroduction would involve a first-year cost of more than $ 11 million .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"And if he smite him with throwing a stone , wherewith he may die , and he die , he is a murderer : the murderer shall surely be put to death .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"The benefits of capital punishment are illusory , but the bloodshed and the resulting destruction of community decency are real .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
It is cheaper and more humane to execute people .,0,the author of this text supports the death penalty,stance,0,0,0,0,0,0,0
He argued that California 's death penalty produces the same type of arbitrary outcomes that led the Supreme Court to invalidate death penalty statutes nationwide in 1972 in the landmark case of Furman v. Georgia .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
The death penalty does n’t have a deterrent factor and does n’t decrease crime .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"They are all volunteers and can un-volunteer or never volunteer in the first place , hardly a reason to end the death penalty .",0,the author of this text supports the death penalty,stance,1,0,1,0,0,0,0
"He said , "" My frustration is more about the fact that the death penalty does not serve any useful purpose and it 's very expensive .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
Venezuela ( 1853 ) and Portugal ( 1867 ) were the first nations to abolish the death penalty altogether .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Categorically false ; the death penalty is actually far more expensive to administer than life imprisonment .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
There is no such thing as a humane method of putting a person to death irrespective of what the state may claim ( see later ) .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"When someone plans and brutally murders another person , does n't it make sense that the punishment for the perpetrator also be death ?",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
The state is actually using a murder to punish someone who committed a murder .,0,the author of this text opposes the death penalty,stance,0,0,1,0,0,0,0
"Until race and other arbitrary factors , like economics and geography , can be eliminated as a determinant of who lives and who dies , the death penalty must not be used .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Or to put it differently , the death penalty is clearly more expensive than a system handling similar cases with a lesser punishment .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"... Combining this public polling , sentencing practices , and the recommendations of the mental health medical community , it 's clear that a consensus is emerging against the execution of a person like Scott Panetti , who suffers from a debilitating ( mental ) illness .... "" Opposition to the execution of people with mental illness was strong across lines of race , gender , geographic region , political affiliation , and education .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Since human justice is fallible , the risk of executing the innocent will never be eliminated .",0,the author of this text opposes the death penalty,stance,0,1,0,0,0,0,0
"But while such a condition may or may not be tolerable when it results in imprisonment , it hardly justifies killing convicts .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Furthermore , the death penalty is a futile threat for political terrorists , like Timothy McVeigh , because they usually act in the name of an ideology that honors its martyrs .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
ï ¿ ½ I favor the death penalty as a matter of justice and human dignity even apart from deterrence .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"I can not reconcile an erratic , racially and regionally biased system of executions with my understanding of the core values of our legal order .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Today , over 140 nations have abolished the death penalty either by law or in practice and , of the 58 countries that have retained the death penalty , only 21 carried out known executions in 2011 .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"In any case , execution is more than a punishment exacted in retribution for the taking of a life .",1,the author of this text opposes the death penalty,stance,0,1,0,1,0,0,0
The death penalty is the most effective means of preventing such killers from repeating their crimes .,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"The ethical opinion explicitly prohibits selecting injection sites for executions by lethal injection , starting intravenous lines , prescribing , administering , or supervising the use of lethal drugs , monitoring vital signs , on site or remotely , and declaring death .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"The United Nations General Assembly affirmed in a formal resolution that throughout the world , it is desirable to "" progressively restrict the number of offenses for which the death penalty might be imposed , with a view to the desirability of abolishing this punishment .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Like the fear of going into the “ Hell ” after death stops one from doing any immoral act , same way , fear of capital punishment that is , fear of losing life is the greatest fear for any human .",1,the author of this text opposes the death penalty,stance,1,0,0,0,1,0,0
"To retain the death penalty in the face of the demonstrable failures of the system is unacceptable , especially since there are no strong overriding reasons to favor the death penalty .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"The bottom line is this : While the death penalty is neither "" cruel , "" when taking into account the cruelty so often inflicted on the victim , nor "" unusual , "" in that it has been around for millennia , there are simply too many practical reasons for states to curtail or abandon their use of the death penalty .",0,the author of this text opposes the death penalty,stance,0,1,0,0,0,1,1
"Hanging may cause a degree of physical pain , but surely being executed over a period of half an hour or more must cause acute mental agony .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,0,1
"“ Today ’s administration of the death penalty , ” Breyer writes , “ involves three fundamental constitutional defects : ( 1 ) serious unreliability , ( 2 ) arbitrariness in application , and ( 3 ) unconscionably long delays that undermine the death penalty ’s penological purpose .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
There are too many stories like these where people deserve the death penalty for killing other people .,0,the author of this text supports the death penalty,stance,0,1,0,0,0,0,0
"I understand , and certainly for people who are mentally incapacitated who do n't know what they 're doing or what 's happening to them — I think people have been executed who were not even aware of what was going on , and that 's not something that a civilized nation should be engaged in .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
Gallup 's poll on capital punishment also found that American teenagers are 2-to-1 in favor of life imprisonment with no parole over the death penalty .,0,the author of this text opposes the death penalty,stance,1,0,0,0,0,1,0
Increasing reliance on the death penalty diminishes all of us and is a sign of growing disrespect for human life .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"But if he thrust him of hatred , or hurl at him by laying of wait , that he die ; Or in enmity smite him with his hand , that he die : he that smote him shall surely be put to death ; for he is a murderer : the revenger of blood shall slay the murderer , when he meeteth him .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Capital punishment has been a useless weapon in the so-called "" war on drugs . """,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"ï ¿ ½ But even if it were real life imprisonment , itï ¿ ½ s deterrent effect will never be as great as that of the death penalty .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"Furthermore , there are documented cases in which the death penalty actually incited the capital crimes it was supposed to deter .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
"Your state has executed 234 death row inmates , more than any other governor in modern times ... Have you struggled to sleep at night with the idea that any one of those might have been innocent ?",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"For justice to prevail , some killers just need to die . """,1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
"It seems to me that we must first find this technology and then educate public opinion away from its present obsession with punishment by demonstrating that the new methods work , pointing out the futility and waste of present penal methods , especially imprisonment and execution .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
The death penalty is an expression of the absolute power of the state ; abolition of that penalty is a much - needed limit on government power .,0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
( 27 ) In no case was a white executed for killing a black person .,1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Then you must support the death penalty , because God commands it .",1,the author of this text opposes the death penalty,stance,1,1,1,1,1,1,1
""" By mid-1995 , eighteen countries had ratified the Sixth Protocol to the European Convention on Human Rights , outlawing the death penalty in peacetime .",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"Yet "" approximately 90 percent of those on death row could not afford to hire a lawyer when they were tried . "" )",1,the author of this text supports the death penalty,stance,1,1,1,1,1,1,1
"More than two centuries ago the Italian jurist Cesare Beccaria , in his highly influential treatise On Crimes and Punishment ( 1764 ) , asserted : "" The death penalty can not be useful , because of the example of barbarity it gives men .",0,the author of this text opposes the death penalty,stance,0,0,0,0,0,0,0
