task,premise,entailment,hypothesis,validation_source,base_nli,large_nli,base_debate,large_debate,llama,base_modern,large_modern
explosives,Several mortar bombs were fired at a police station in Baqubah. Eleven policemen were killed while fifteen other people were wounded in the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Insurgents opened fire on a police pick-up truck in southern Thailand's turbulent Pattani . The officers fired back and killed two of the assailants. No police officers were injured in the attack. Attacks on the police are common in Thailand's three southernmost provinces of Pattani, Yala and Narathiwat.Islamic insurgents in the far south of Thailand continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004 and more than 2000 people have perished from the violence.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"The Head Prosecutor of Buinaksk, Bitar Bitarov, was seriously injured when a parked car exploded as he was driving by.  Bitarov later died of his wounds in the hospital.  The Dagestani Shari'ah Jamaat has taken responsibility for this attack in a statement on Kavkaz-Tsentr, as well as for one later that day on Dagestani Interior Minister Magomedtagirov who was driving to the scene of the attack on Bitarov.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
knives & sharp objects,The Palestinian Revolution Forces General Command claimed responsibility for a stabbing attack on an Israeli soldier in Jerusalem.,4,This text describes a knife or sharp object attack.,gpt-4o-2024-11-20,4,4,4,4,4,2,4
firearms,"Nihad Fakhry, the muezzin of the Al-Rasul mosque, was wounded when gunmen opened fire on him in Al-Rasul. Attacks on religious figures are frequent in Iraq and often have sectarian motivations.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,Pro-Libyan elements are suspected of assaulting a bus filled with Austrian tourists.  Eight persons were injured in the machine-gun attack. The Maltese government claimed that the attack had been part of an effort to destabilize his government and undermine tourism.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A suicide car bomber detonated his vehicle in eastern Baghdad, near the al-Darweesh bakery and a police patrol. Three people were wounded in the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,A Muslim man was killed and his wife injured when suspected militants fired at them in Pattani province.  No further information is available.  Drive-by shootings are frequent in southern Thailand and are used by Islamic militants to inspire fear among the general population.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
fire or firebomb,"Several molotov cocktails, which did not explode, were thrown at the headquarters of the national employment center in the town of Tudela.  Basque separatists have been perpetrating various attacks before regional assembly elections in Navarra.",3,This text describes an arson attack.,gpt-4o-2024-11-20,1,1,1,3,2,3,1
firearms,"A Frenchman, who had received death threats, was shot dead in his car by suspected GIA members in Port Said Square in Algiers.  One person was seriously injured in the attack where the gunmen had opened fire on their target in the crowded square.  A statement by the GIA was issued the previous day to Al-Hayat Arab daily in London warning French citizens to leave and or stay out of Algeria.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,Suspected al-Qaeda militants detonated explosives at two police stations in Dhuluiya (50 miles north of Baghdad).  No casualties were reported.  Militants have recently threatened to destroy all government offices in Sunni areas of the country.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"On April 7, unidentified gunmen shot and killed the President of Trincomalee District Tamil PeoplesÕ Forum, identified as Vanniasingham Vigneswaran, inside a bank in Trincomalee.  According to officials, Vigneswaran was about to be nominated as the national list Parliamentarian, filling a position that was left vacant by another assassination in December 2005.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A homemade pipe bomb exploded in front of a garage gate that is beside the Liberal Democratic Party's Maltepe center in Istanbul Province.  Authorities believe the political party center was the target of the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Unknown gunmen on a motorbike shot and killed an interpreter near his home in Kut.  Attacks on individuals who work with U.S. forces or the Iraqi government are common in Iraq.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,The Citibank branch office in Miraflores was seriously damaged by a Tupac Amaru bomb.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Two police were killed and two civilian wounded when a suicide attack was carried out on a police vehicle in Lashkargah, Helmand Province.  No credit was claimed for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,4,1,1,2,1,1
explosives,Insurgents launched a mortar attack against a police station in Karbala.  The attack took place in the Saif Saad area and was coordinated with a separate mortar attack on an Iraqi military base in Karbala.  Attacks on police are common in Iraq.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A car carrying five members of the Iraqi Islamic Party hit a roadside bomb planted outside the Sunni party's headquarters in Khalis, killing all five occupants of the vehicle. The blast also wounded two other civilians. Political figures are the frequent target of insurgent attack in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
fire or firebomb,"A molotov cocktail was thrown at a building which houses the Justice and Development Party (AKP) and the Republican People's Party (CHP) in Seyhan in Adana Province.  The device smashed the windows of the building, but caused no injuries.  Authorities found slogans, in favor of separatist organizations, written on the walls of the premises.  CHP's Adana Province leader, Serdar Seyhan believes that the attack was carried out by circles that do not want democracy in Turkey.",3,This text describes an arson attack.,gpt-4o-2024-11-20,1,1,1,3,2,3,3
explosives,A bomb damaged the Spanish-owned Exterbandes Bank in Miraflores.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"On November 23, 2008 a roadside bomb exploded near a school in the al-Maghrib thoroughfare in Baghdad's northern district of Adhamiya, wounding two of the school's guards and two civilians.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"In another attempt to undermine government services, militants attached a bomb to a fuel truck causing it to explode. Six trucks in total were set ablaze due to the explosion and three of their drivers were wounded in the attack.Al-Qaeda is known to operate in Mosul and has usually listed transportation and fuel supplies as priority targets.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,3
explosives,"A suicide bomber attacked a police station in the Delaram District of Farah Province.  The bomber threw grenades at police, then disarmed one policeman and shot him before detonating his explosives.  Two civilians were wounded in the blast.  No credit was claimed for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Police report that Islamic insurgents shot and killed three Buddhist civilians in a drive-by shooting on Tuesday in the Cha Nae district of Narathiwat. The attack occurred around noon on Tuesday. All three victims died at the scene.Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"Without prior warning, a bomb exploded in a public locker in the international arrivals terminal for Alitalia Airlines at JFK International Airport in New York.  Two airline employees were injured.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"An explosive device detonated near the Dijlah Restaurant in Diyala Governorate. No injuries were caused by the blast, but nearby buildings were damaged.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
fire or firebomb,Student radicals hurled firebombs onto the roof of a building at Camp Henry in Taegu.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,2,3,2,2,3
fire or firebomb,"(1 of 13 coordinated arson attacks)Police report that Islamic militants set fire to 13 public schools throughout the Khok Po and Yarang district of Pattani on Monday night. Most of the buildings were undamaged as local villagers were able to extinguish the fires at 11 of the 13 schools.Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
explosives,"An explosive charge detonated near the convoy of General Hamad al-Ghannam, the head of police in Tikrit, as he was traveling to Bayji. Ahmed Abdallah, an aide to the Tikrit governor in security affairs, was also in the convoy. Neither Abdallah or al-Ghannam were injured in the attack, but one guard was wounded and two killed in the attack. Attacks on security officials and government personnel are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Police report that Islamic insurgents gunned down an ice-cream vendor with a 9mm pistol and an AK47 around noon in the Muang district of Yala. The attack occurred in the Sateng sub-district and the victim died instantly at the scene.Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,3,2
explosives,"On 30 December the al-Qassam brigades of Hamas fired four Qassam rockets at Sederot. The rocket shards reportedly injured one civilian, while two others went into shock.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,1
explosives,"Militants fired mortars on the Green Zone, the heavily fortified area of Baghdad that houses the Iraqi government and the US and British embassies.  A total of ten people were wounded in this attack and another on 25 March.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,2,2,2,1
firearms,"Several shots were fired at the front faade of the law courts in the town of Bastia, on the island of Corsica.  There were no reported injuries.  The attack comes amidst an increase of separatist violence all over the island and a few days before French Justice Minister Dominique Perben is set to visit the island.  The Corsican National Liberation Front (FLNC)- Union of Combatants claimed responsibility for this attack on 30 August.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A car bomb detonated at a police checkpoint in western Baqubah, killing two policemen and wounding one other.  Attacks on police are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,A group of 9 French citizens were attacked by unknown gunmen in an unidentified vehicle about 17 kilometers from the Medina/Tabuk highway.  Two of the men were killed instantly.  Two others died later at the hospital.  The French expatriates resided in Saudi Arabia and worked in Riyadh.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
knives & sharp objects,"A Jewish couple in the West Bank settlement of Maaleh Mikhmash were targets of a knife attack in their home.  The man, who had recently immigrated from England, was stabbed to death.  His pregnant American wife was seriously injured.  PFLP claimed responsibility for the attack stating that it was in retaliation for the arrest of three PFLP members and the long detention of another.  One person was arrested.",4,This text describes a knife or sharp object attack.,gpt-4o-2024-11-20,4,4,4,4,2,2,2
explosives,"Athens police arrested three Arabs as they were preparing to board a TWA plane bound for Rome and New York.  The three, who had arms and explosives, said that they were members of the PFLP, and that they had received orders to divert the airplane to Tunis where they were to evacuate the passengers and blow up the plane.  One of the hijackers confessed that he and his colleagues had planned to hijack the aircraft to Tunis, empty it of passengers, and then blow it up to warn the Americans to stop providing air communications with Israel. They were freed after the hijacking of an Olympic Airways plane to Cairo on July 22, l970.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"The Armenian Secret Army for the Liberation of Armenia claimed credit for two bombs that went off in front of the Madrid offices of British Airways, and Trans World Airlines.  The ASALA said these were airlines of world imperialists, and that the attack was to serve as a warning to Pope John Paul ll to cancel his trip to Turkey.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Two explosive devices were detonated against the Cordoba Municipality City Hall (Bolivar Department).  No one was injured or killed in the attack.  Authorities blame the 37th Front of the Revolutionary Armed Forces of Colombia (FARC) for the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Members of al-shabaab remotely detonated a roadside bomb (in this case, a landmine) against a contingent of African Union (AU) peacekeepers in Mogadishu along Makka al-Mukarama Road.  The attack left four peacekeepers dead and three others wounded.  Al-shabaab has publicly declared war on the AU peacekeepers.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A roadside bomb exploded near a police patrol in Baghdad, wounding two policemen. Attacks on police are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A hand grenade was thrown at the residence of the Cuban Ambassador to the United Nations in New York City.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"A group of Israelis from Efrat settlement came under fire near the village of Al-Khidr, west of Bethlehem.  There were no casualties and no damage was caused.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,3
explosives,"Ali Iman Sharma'arke, a colleague of Mahad Ahmad Elmi, was killed while attending Elmi's funeral.  Serving as the co-owner and director of the independent media house HornAfrik, both men worked together there for a number of years.   After Elmi was shot and killed by gunmen at his office, a funeral was held the same day.  After returning from the cemetery, Sharma'arke's vehicle was hit by a remote-controlled landmine, and he died instantly.  Reuters correspondent in Somalia Sahal Abdulle was also injured in the blast.  Both the government and the insurgents have traded blame for the attack.  Both attacks have been widely condemned by various media outlets and the United Nations.  They are viewed as a tremendous blow to the state of civil society in Somalia.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Rockets were fired onto the runway of Kabul's International Airport just as an International Committee of the Red Cross (ICRC) chartered flight was about to take off.  Three more rockets landed on the runway after the flight took off safely.  The attack is suspected to have been carried out by the Taliban Islamic militia.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,1
knives & sharp objects,"The body of a man from Ram Nagri, Shopizn, was found in a canal near the village with his throat slit.",4,This text describes a knife or sharp object attack.,gpt-4o-2024-11-20,4,4,4,4,4,4,4
explosives,"Grenades rigged to batteries were removed from two commuter train stations in Manila.  They were placed in brown envelopes and accompanied by literature from the Indigenous Federal State Army (IFSA).  Two days earlier, similar devices were discovered in Makati city, though reports on that incident referred to the Indigenous People's Federal Army (IPFA).  Police say the bombs found at the train station were not intended to explode, as they lacked detonators.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,2
firearms,Father Jesus Adrian Sanchez was shot and killed by members of the Revolutionary Armed Forces of Colombia (FARC) as he began to teach his religion class.  He was the priest of El Limon.  He had actively discouraged youth from accepting recruitment offers from guerilla fighters in the area.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A roadside bomb targeting a Afghan army bus detonated in the Fazel Bag area of Kabul, killing one civilian and wounding five others. No credit was claimed for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
fire or firebomb,Kurds are suspected of setting an arson fire at a Turkish bank in Paris.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
explosives,Over twenty people were killed with a bomb went off killing National Unity Alliance Batticola District candidate M. Baithullah.  Authorities blame the Liberation Tigers of Tamil Eelam (LTTE) for the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A bomb detonated in a vegetable market in Suwayra, south of Baghdad, wounding five people.  Attacks on crowded, public areas, particularly markets, are frequent in Iraq and often have sectarian motivations.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A bomb exploded at the home of a French bishop in Oran when he returned from a ceremony honoring French monks killed earlier in the year. The bishop and his chauffeur were killed in the explosion.  The suspects, all members of the GIA, were killed by security forces on August 11.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,A Buddhist martial arts teacher who worked at a Yala province sports school was shot and killed as he returned home from a funeral.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A series of explosive devices targeted a predominately Shiite apartment building in Mahmoudiya, killing at least seven people and wounding eleven others.  The attack likely had sectarian motivations.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,Several people were killed and wounded in a series of explosions aboard buses in Damascus.  Syrian state-controlled radio blamed Israeli agents for the attacks.  The explosions took place on intercity buses and civilians were killed and injured; however there was no report of exact casualty figures.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,A time bomb placed on the Aksaray-Yenibosna train was defused by the police.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,The Zarate Willca group is believed to have been responsible for a powerful bomb explosion which targeted a Mormon Church in Santa Cruz.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,A grenade was thrown into the garage of the Greek Embassy in Tehran.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
fire or firebomb,"The Latvian consulate in St. Petersburg was damaged when it was hit by a rock and a Molotov cocktail, resulting in damage to the faade and the window. About $3,300 of damage was caused. There have been two similar attacks in recent months. The Latvian consulate general expected the Russian government to pay for the damages and also to provide security for the building.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
explosives,An explosion in a U.S.-owned bank in Buenos Aires caused some damage.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,"The Casa del Pueblo (social club) in Amorebieta, was damaged by incendiary devices thrown by unknown individuals through a window they broke.  The ensuing fire damaged the club's furniture.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
explosives,"An explosive device detonated among a crowd of Iraqis leaving a polling station for the December 15 parliamentary elections  in Buhruz, killing one Iraqi voter and wounding four others.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,Ten mortar shells were fired on Qatif Bloc settlements.  No injuries were reported.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,2,1
fire or firebomb,The cash dispenser at a branch of Banco Guipuzcoano and a branch of Banco Central Hispano in San Sebastian were set on fire by a group of hooded individuals.  No one has claimed responsibility for the attacks.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
explosives,"A grenade was lobbed at a wealthy businessman who sells qat.  The attack, which took place in Somalia's Beledweyene, left the victim seriously injured.  Attacks on those who sell qat are common in Somalia.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,2,2
explosives,A bomb exploded near a police station in the Eastern town of Eravur.  The bomb was attached to a wall of an abandoned boutique near the police post that is roughly 200 meters from the police station.  Police recovered a watch and a battery from the area.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,"Molotov cocktails were thrown at the Socialist Party of the Basque Country (PSE-EE) office in Arrasate.  No one was injured, and damage was slight.",3,This text describes an arson attack.,gpt-4o-2024-11-20,1,3,3,3,2,3,4
explosives,"Italian soldiers of the multinational peacekeeping force found two time bombs made from anti-tank mines in two U.N. schools for Palestinian refugees.  The fuse on one of the bombs had gone off but failed to detonate the explosive charge.  It was set to go off just before school started.  The sound of the fuse drew attention to the device, and guards from a nearby Italian guardpost were summoned.  The second bomb of similar construction was found in a stairwell of a nearby U.N. school after a search.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,A bus enroute to Hebron from Jerusalem was fired upon by terrorists.  Two people were wounded.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,1,2
firearms,"Unknown gunmen attacked two police points in Semdinli, in Hakkari Province with long-barreled rifles and rocket launchers.  These stations are located at the exit of the district.  No further information is provided.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A roadside bomb killed one person and wounded another three in Mahmudiyah about 20 miles south of Baghdad.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
